task_key,task_label,protocol_key,numeric_path,fp4_quantization_applied,benchmark,score,score_percent,official_aggregate_alias,official_metric_key,aggregation,underlying_evaluation_examples
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,core_9mcqa_olmes,0.6513771997049768,65.13771997049767,core_9mcqa::olmes,primary_score,macro over nine best-of-MC/RC task scores,18320
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,mmlu_olmes,0.3963562898095098,39.63562898095098,mmlu::olmes,primary_score,best of MC and RC subject-macro scores,28084
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,mmlu_pro_mc,0.11236702127659574,11.236702127659575,mmlu_pro:mc::none,acc_raw_micro,micro accuracy over all MMLU-Pro MC examples,12032
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,core_9mcqa_olmes,0.638183836990957,63.818383699095705,core_9mcqa::olmes,primary_score,macro over nine best-of-MC/RC task scores,18320
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,mmlu_olmes,0.38972954953923794,38.9729549539238,mmlu::olmes,primary_score,best of MC and RC subject-macro scores,28084
ue5m3_proposed_b16,"Proposed UE5M3 FP4, B=16, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,mmlu_pro_mc,0.11062167553191489,11.06216755319149,mmlu_pro:mc::none,acc_raw_micro,micro accuracy over all MMLU-Pro MC examples,12032
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,core_9mcqa_olmes,0.6284977465840513,62.84977465840513,core_9mcqa::olmes,primary_score,macro over nine best-of-MC/RC task scores,18320
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,mmlu_olmes,0.38141416591351024,38.141416591351025,mmlu::olmes,primary_score,best of MC and RC subject-macro scores,28084
ue5m3_proposed_b32,"Proposed UE5M3 FP4, B=32, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,mmlu_pro_mc,0.11037234042553191,11.037234042553191,mmlu_pro:mc::none,acc_raw_micro,micro accuracy over all MMLU-Pro MC examples,12032
ue5m3_proposed_torch,"Proposed UE5M3 FP4, generic Torch emulator, cold D=50",fp4_activation_training_replay_d50,quantized_ue5m3_fp4,True,core_9mcqa_olmes,0.6354436627441737,63.54436627441737,core_9mcqa::olmes,primary_score,macro over nine best-of-MC/RC task scores,18320
