task_key,task_label,protocol_key,numeric_path,fp4_quantization_applied,leaf_task_index,benchmark,task_alias,task_name,task_hash,primary_metric,example_count,score,score_percent
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,0,core_9mcqa_olmes,arc_easy:mc::olmes,arc_easy:mc,c8c246d1822e8ad46441536ef5c4f4f3,acc_raw,1000,0.233,23.3
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,1,core_9mcqa_olmes,arc_easy:rc::olmes,arc_easy,53bd6ac04aafb5f2d1c5ab836325f27e,acc_per_char,1000,0.761,76.1
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,2,core_9mcqa_olmes,arc_challenge:mc::olmes,arc_challenge:mc,903ed260afcf0caaf0450b55e69ddf3a,acc_raw,1172,0.2619453924914676,26.194539249146757
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,3,core_9mcqa_olmes,arc_challenge:rc::olmes,arc_challenge,cac12ad4468d93ad9fc41cb9599795c6,acc_uncond,1172,0.4931740614334471,49.31740614334471
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,4,core_9mcqa_olmes,boolq:mc::olmes,boolq:mc,315dba082fe52a6058cdc5b806550ce4,acc_raw,1000,0.385,38.5
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,5,core_9mcqa_olmes,boolq:rc::olmes,boolq,0bfbc3015e70e6dfba1f6b9b266334ba,acc_raw,1000,0.673,67.30000000000001
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,6,core_9mcqa_olmes,csqa:mc::olmes,csqa:mc,d0de18d67d31994a2b5e2d2e87918a36,acc_raw,1221,0.19983619983619982,19.98361998361998
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,7,core_9mcqa_olmes,csqa:rc::olmes,csqa,095f3f94d29c4f17ff7005f7252ba051,acc_uncond,1221,0.7043407043407044,70.43407043407043
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,8,core_9mcqa_olmes,hellaswag:mc::olmes,hellaswag:mc,58011dd35e359a4de96cd11745a16895,acc_raw,1000,0.258,25.8
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,9,core_9mcqa_olmes,hellaswag:rc::olmes,hellaswag,126122195b41bf14d9091a9cdd414690,acc_per_char,1000,0.727,72.7
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,10,core_9mcqa_olmes,openbookqa:mc::olmes,openbookqa:mc,17ee8b464c2aae92e093fb7096684165,acc_raw,500,0.242,24.2
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,11,core_9mcqa_olmes,openbookqa:rc::olmes,openbookqa,8c852627a335c1a263d4bbc6deea2be0,acc_uncond,500,0.516,51.6
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,12,core_9mcqa_olmes,piqa:mc::olmes,piqa:mc,f4cc9f661d585e160a1d8eb867cd040c,acc_raw,1000,0.508,50.8
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,13,core_9mcqa_olmes,piqa:rc::olmes,piqa,f63d922029758d577fcc9dba83c9de5c,acc_per_char,1000,0.76,76.0
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,14,core_9mcqa_olmes,socialiqa:mc::olmes,socialiqa:mc,1f8ad25448306986fa263f77e5966e9e,acc_raw,1000,0.35,35.0
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,15,core_9mcqa_olmes,socialiqa:rc::olmes,socialiqa,18e6bcddd3ce25d04e57dc2b321f78c7,acc_per_char,1000,0.572,57.199999999999996
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,16,core_9mcqa_olmes,winogrande:mc::olmes,winogrande:mc,dadb31c80b5be4914ed051cd8660191e,acc_raw,1267,0.505130228887135,50.5130228887135
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,17,core_9mcqa_olmes,winogrande:rc::olmes,winogrande,9b11ef7f437e610eba48f6d273ed6886,acc_raw,1267,0.6558800315706393,65.58800315706394
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,18,mmlu_olmes,mmlu_abstract_algebra:mc::olmes,mmlu_abstract_algebra:mc,77b926c73e62bfb451729f8369068e7d,acc_raw,100,0.25,25.0
bf16,BF16 learned-weight control,learned_weight_bf16,learned_weight_bf16,False,19,mmlu_olmes,mmlu_anatomy:mc::olmes,mmlu_anatomy:mc,3df98cd8b30afac6feb32f0d0c15395a,acc_raw,135,0.17037037037037037,17.037037037037038
