schema,configuration,target,override_scope,source_commit,seed,step,training_loss
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9775,2.938039779663086
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9800,2.9364700317382812
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9825,2.8769586086273193
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9850,2.925382614135742
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9875,2.869593620300293
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9900,2.9374513626098633
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9925,2.879737377166748
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9950,2.910768985748291
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9975,2.9532878398895264
ue5m3_scale_target_350m_public_final_window_v1,default_T448,448,default target for all operands,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,10000,2.862741470336914
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9775,2.9313039779663086
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9800,2.9348597526550293
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9825,2.873145341873169
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9850,2.915783405303955
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9875,2.859898328781128
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9900,2.9366369247436523
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9925,2.8742423057556152
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9950,2.899308204650879
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,9975,2.9417061805725098
ue5m3_scale_target_350m_public_final_window_v1,final_four_w2_wgrad_dY_T2048,2048,upstream-gradient operand in final-four feed_forward.w2 Wgrad GEMMs,e56fd837afe5926d3d8799f7134efb3d06db8a22,42,10000,2.8579535484313965
